HGNC_SYMBOL	GENE
ADAM2	ADAM2
ADAM20	ADAM20
ADAM21	ADAM21
ADAM22	ADAM22
ADAM23	ADAM23
ADAM28	ADAM23
ADAM18	ADAM27
ADAM28	ADAM28
ADAM29	ADAM29
ADAM30	ADAM30
ADAM21	ADAM31
ADAM32	ADAM32
ADAM33	ADAM33
ADAM7	ADAM7
ADAM8	ADAM8
ADAM9	ADAM9
ADAMDEC1	ADAMDEC1
ADAMTS4	ADAMTS-2
ADAMTS2	ADAMTS-3
ADAMTS3	ADAMTS-4
ADAMTS1	ADAMTS1
ADAMTS10	ADAMTS10
ADAMTS5	ADAMTS11
ADAMTS12	ADAMTS12
ADAMTS13	ADAMTS13
ADAMTS14	ADAMTS14
ADAMTS15	ADAMTS15
ADAMTS16	ADAMTS16
ADAMTS16	ADAMTS16s
ADAMTS17	ADAMTS17
ADAMTS18	ADAMTS18
ADAMTS19	ADAMTS19
ADAMTS2	ADAMTS2
ADAMTS20	ADAMTS20
ADAMTS18	ADAMTS21
ADAMTS3	ADAMTS3
ADAMTS4	ADAMTS4
ADAMTS5	ADAMTS5
ADAMTS6	ADAMTS6
ADAMTS7	ADAMTS7
ADAMTS8	ADAMTS8
ADAMTS9	ADAMTS9
ADAMTSL1	ADAMTSL1
ADAMTSL2	ADAMTSL2
ADAMTSL3	ADAMTSL3
ADAMTSL4	ADAMTSL4
ADAMTSL5	ADAMTSL5
THSD4	ADAMTSL6
ADAMTSL1	ADAMTSR1
RANBP2	ADANE
FYB1	ADAP
AGPS	ADAP-S
ADAP1	ADAP1
ADAP2	ADAP2
AKAP6	ADAP6
ADAR	ADAR
ADAR	ADAR1
ADARB1	ADAR2
ADARB1	ADAR2a
ADARB1	ADAR2a-L1
ADARB1	ADAR2a-L2
ADARB1	ADAR2a-L3
ADARB1	ADAR2b
ADARB1	ADAR2c
ADARB1	ADAR2d
ADARB1	ADAR2g
ADARB2	ADAR3
ADARB1	ADARB1
ADARB2	ADARB2
AGPS	ADAS
ADAT1	ADAT1
ADAT2	ADAT2
ADAT3	ADAT3
ITGAD	ADB2
AZIN2	ADC
PDYN	ADCA
LRP6	ADCAD2
ATXN7	ADCAII
ADCK1	ADCK1
ADCK2	ADCK2
COQ8A	ADCK3
COQ8B	ADCK4
ADCK5	ADCK5
DPP4	ADCP2
ADCY1	ADCY1
ADCY10	ADCY10
ADCY2	ADCY2
ADCY3	ADCY3
ADCY8	ADCY3
ADCY4	ADCY4
ADCY5	ADCY5
ADCY6	ADCY6
ADCY7	ADCY7
ADCY8	ADCY8
ADCY9	ADCY9
ADCYAP1	ADCYAP1
ADCYAP1R1	ADCYAP1R1
ADD1	ADD1
ADD2	ADD2
ADD3	ADD3
ADD2	ADDB
ADD3	ADDL
PAICS	ADE2H1
DSTN	ADF
PLIN2	ADFP
GFOD1	ADG-90
ADGB	ADGB
ADA2	ADGF
ADGRA1	ADGRA1
ADGRA2	ADGRA2
ADGRA3	ADGRA3
ADGRB1	ADGRB1
ADGRB2	ADGRB2
ADGRB3	ADGRB3
CELSR1	ADGRC1
CELSR2	ADGRC2
CELSR3	ADGRC3
ADGRD1	ADGRD1
ADGRD2	ADGRD2
ADGRE1	ADGRE1
ADGRE2	ADGRE2
ADGRE3	ADGRE3
ADGRE5	ADGRE5
ADGRF1	ADGRF1
ADGRF2	ADGRF2
ADGRF3	ADGRF3
ADGRF4	ADGRF4
ADGRF5	ADGRF5
ADGRG1	ADGRG1
ADGRG2	ADGRG2
ADGRG3	ADGRG3
ADGRG4	ADGRG4
ADGRG5	ADGRG5
ADGRG6	ADGRG6
ADGRG7	ADGRG7
ADGRL1	ADGRL1
ADGRL2	ADGRL2
ADGRL3	ADGRL3
ADGRL4	ADGRL4
ADGRV1	ADGRV1
AVP	ADH
ADH4	ADH-2
ADH5	ADH-3
ADH7	ADH-4
ADH6	ADH-5
ADH1A	ADH1
ADH1A	ADH1A
ADH1B	ADH1B
ADH1C	ADH1C
ADH1B	ADH2
ADH1C	ADH3
ADH4	ADH4
ADH5	ADH5
ADH6	ADH6
ADH7	ADH7
SGCA	adhalin
AGPS	ADHAPS
ADHFE1	ADHFe1
ADHFE1	ADHFE1
ADH5	ADHX
ADI1	ADI1
ADIG	ADIG
C1QTNF12	ADIPOLIN
ADIPOQ	adiponectin
PNPLA3	adiponutrin
ADIPOQ	AdipoQ
ADIPOQ	ADIPOQ
ADIPOR1	ADIPOR1
ADIPOR2	ADIPOR2
TOR3A	ADIR
TOR3A	ADIR2
ADIRF	ADIRF
ADK	ADK
SGCA	ADL
ADM	ADM
ADM2	ADM2
ADM5	ADM5
MUC1	ADMCKD
MUC1	ADMCKD1
ANOS1	ADMLX
SPTSSB	ADMP
ADAMTS4	ADMP-1
ADAMTS5	ADMP-2
GPR182	ADMR
CFD	ADN
CAPN5	ADNIV
ADNP	ADNP
ADNP	ADNP1
ADNP2	ADNP2
ADO	ADO
ORMDL2	adoplin-2
ADORA1	ADORA1
ADORA2A	ADORA2
ADORA2A	ADORA2A
ADORA2B	ADORA2B
ADORA3	ADORA3
WDTC1	ADP
ADPGK	ADP-GK
ADPGK	ADPGK
PLA2G16	AdPLA
PNPLA3	ADPN
ADPRH	ADPRH
ADPRHL1	ADPRHL1
ADPRHL2	ADPRHL2
ADPRM	ADPRM
PARP1	ADPRT
PARP3	ADPRT3
PARP4	ADPRTL1
PARP2	ADPRTL2
PARP3	ADPRTL3
AGPS	ADPS
SPAST	ADPSP
ADRA1D	ADRA1
ADRA1A	ADRA1A
ADRA1D	ADRA1A
ADRA1B	ADRA1B
ADRA1A	ADRA1C
ADRA1D	ADRA1D
ADRA1A	ADRA1L1
ADRA1D	ADRA1R
ADRA2A	ADRA2
ADRA2A	ADRA2A
ADRA2B	ADRA2B
ADRA2C	ADRA2C
ADRA2B	ADRA2L1
ADRA2C	ADRA2L2
ADRA2A	ADRA2R
ADRA2B	ADRA2RL1
ADRA2C	ADRA2RL2
ADRA2A	ADRAR
ADRA2B	ADRARL1
ADRA2C	ADRARL2
ADRB1	ADRB1
ADRB1	ADRB1R
ADRB2	ADRB2
ADRB2	ADRB2R
HTR1A	ADRB2RL1
